image_url_1,category,style,colors,gender,pattern,occasion,accessory_type,more_attributes,bag_type,belt_type,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_width,heels_height,boots-shoe_type,shoe_material,bracelet_type,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,glasses_type,headwear_type,jumpsuit_length,necklet_type,neckwear_type,overclothes-sleeveless_type,poncho_type,sandals-shoe_type,shorts_type,slippers-shoe_type,sneakers_type,sportswear_type,sweatshirt_type,swimwear_type,tank_type,bottoms_type,barcode,brand
https://fotos.skm.be/article/506012/506012_01_sunsetcurcuma-look12.jpg,sweater,casual,lavander,male,stripes,casual,,,,,,fitted-tops,flare-sleeve,short,,,,v-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50601201050101,Mayerline
https://fotos.skm.be/article/497380/497380_01_mayerline-t-shirtblouse-met-satijnen-front_S2023JADIE-V7814020-V.jpg,t-shirt,feminine,blue; multicolor; mustard,unisex,leaf,casual,,,,,,regular-fit-tops,,short,,,,round-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49738001050101,Mayerline
https://fotos.skm.be/article/500585/500585_01_63f2432062244200108ecce5.jpg,dress,feminine,neon; yellow,female,plain,dating,,pleated,,,,,,,,,,v-neck,sleeveless,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,50058501040101,Marc Cain Sports
https://fotos.skm.be/article/497719/497719_01_63c8d775a9fbec0011f262c6.jpg,tank-top,casual,navy,female,glitter,casual,,,,,cotton,regular-fit-tops,,short,,,,v-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleeveless,,49771901050101,GERRY WEBER
https://fotos.skm.be/article/503385/503385_01_03-14d.jpg,dress,casual,multicolor; mustard; white,female,,casual,,,,,lace,,dolman-sleeve,,,,,round-neck,short-sleeve,,,,,,,,,,pencil,skirt-length-undefined,,,,,,,,,,,,,,,,,,50338501040101,Caroline Biss
https://fotos.skm.be/article/501449/501449_01_shop-the-look.jpg,trousers_and_chinos,feminine,,male,,casual; dating,,,,,,,,,,,,,,,,,,,,,low-waist,full-length,,,flare-bottoms,,,,,,,,,,,,,,,,classic-trousers,50144901040101,CKS
https://fotos.skm.be/article/483554/483554_01_90009-01-7706_01.jpg,dress,feminine,green; purple,female,diagonal-stripes; stripes,nightout; semi-formal; summer,,wrap,,,,,,,,,,v-neck,sleeveless,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,48355401050101,Xandres Gold
https://fotos.skm.be/article/487399/487399_01_61eda76bcf654000117035e4.jpg,tops,casual,black; multicolor; silver,female,floral; leaf,casual; dating; semi-formal,,,,,,oversized-tops,straight-sleeve,thigh-length,,,,round-neck,3-4-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48739901290101,Joseph Ribkoff
https://fotos.skm.be/article/497165/497165_01_60844-01-1625_01.jpg,dress,casual,,female,floral; leaf,dating,,,,,,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,49716501030101,Xandres
https://fotos.skm.be/article/477583/477583_02_6181defc0c0b3e0012c2d9db.jpg,sweater,casual,beige; ecru; multicolor,female,horizontal-stripes,casual; home-lounge,,,,,,regular-fit-tops,straight-sleeve,short,,,,crew-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47758302050101,GERRY WEBER CASUAL
https://fotos.skm.be/article/496311/496311_01_63652a7d40359e00127eca8e.jpg,shirt,casual,ecru,female,plain,casual,,buttons,,,,regular-fit-tops,straight-sleeve,short,,,,cutaway,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49631101040101,Street One
https://fotos.skm.be/article/498369/498369_01_21-223-TUDORA-620_B.jpg,skirt,feminine,blue,female,plain,casual; semi-formal,,,,,,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,49836901040101,Gigue
https://fotos.skm.be/article/508891/508891_01_64785bfa9ccc880011b51e47.jpg,shirt,casual,ecru,female,plain,casual,,buttons,,,cotton,oversized-tops,straight-sleeve,thigh-length,,,,polo,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50889101080101,Frapp
https://fotos.skm.be/article/508216/508216_01_ACCENT_FW23_lookbook_031.jpg,skirt,casual,brown; multicolor; white,male,abstract,casual,,pleated,,,,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,50821601080101,Accent
https://fotos.skm.be/article/486126/486126_01_rl22s-c3005_a-000_s20009_f.jpg,dress,feminine,gray; multicolor; white,female,vertical-stripes,dating,,slit,,,,,,,,,,v-neck,sleeveless,,,,,,,,,,pencil,midi,,,,,,,,,,,,,,,,,,48612601030101,River Woods
